,�..ID,store,state,city_locality,lat,long,item,species,subspecies,specific_taxonomy,sex,price_.,in_list,notes,visit_type,vendor_type,native.
5774,6036,Big Apple Herp,,,NA,NA,Colombian Red Tail Boas,Boa constrictor,,1,,199,,,online,online,0
5775,6037,Big Apple Herp,,,NA,NA,Peruvian Red Tail Boas,Boa constrictor,,1,,679,,,online,online,0
5776,6038,Big Apple Herp,,,NA,NA,Hypo Stripe Colombian Boas,Boa constrictor,,1,,349,,,online,online,0
5777,6039,Big Apple Herp,,,NA,NA,Hypo Colombian Red Tail Boas,Boa constrictor,,1,,199,,,online,online,0
5778,6040,Big Apple Herp,,,NA,NA,T+ Motley Boas,Boa constrictor,,1,,469,,,online,online,0
5779,6041,Big Apple Herp,,,NA,NA,Double Het Sunglow Keltic Boas,Boa constrictor,,1,,339,,,online,online,0
5780,6042,Big Apple Herp,,,NA,NA,Albino Keltic Boas,Boa constrictor,,1,,549,,,online,online,0
5781,6043,Big Apple Herp,,,NA,NA,Sunglow Boas,Boa constrictor,,1,,539,,,online,online,0
5782,6044,Big Apple Herp,,,NA,NA,Leopard Boas,Boa constrictor,,1,,469,,,online,online,0
5783,6045,Big Apple Herp,,,NA,NA,Super Hypo Jungle Colombian Boas,Boa constrictor,,1,,319,,,online,online,0
5784,6046,Big Apple Herp,,,NA,NA,Het T+ Super Hypo Jungle Boas,Boa constrictor,,1,,395,,,online,online,0
5785,6047,Big Apple Herp,,,NA,NA,Albino Motley Boas,Boa constrictor,,1,,489,,,online,online,0
5786,6048,Big Apple Herp,,,NA,NA,Jungle Motley (Het Albino) Boas,Boa constrictor,,1,,349,,,online,online,0
5787,6049,Big Apple Herp,,,NA,NA,Sunglow Jungle Boas,Boa constrictor,,1,,764.99,,,online,online,0
5788,6050,Big Apple Herp,,,NA,NA,Pearl Island Boas,Boa constrictor,,1,,467.45,,,online,online,0
5789,6051,Big Apple Herp,,,NA,NA,Sunset Red Tail Boas,Boa constrictor,,1,,379.99,,,online,online,0
5790,6052,Big Apple Herp,,,NA,NA,Nicaraguan Red Tail Boas,Boa constrictor,,1,,62.95,,,online,online,0
5791,6053,Big Apple Herp,,,NA,NA,Hypo Salmon Boa,Boa constrictor,,1,,314.49,,,online,online,0
5792,6054,Big Apple Herp,,,NA,NA,Double Het Sunglow Red Pastel Boas,Boa constrictor,,1,,212.45,,,online,online,0
5793,6055,Big Apple Herp,,,NA,NA,Sunglow Boas,Boa constrictor,,1,,501.45,,,online,online,0
5794,6056,Big Apple Herp,,,NA,NA,Albino Sunglow Boas,Boa constrictor,,1,,552.49,,,online,online,0
5795,6057,Big Apple Herp,,,NA,NA,Longtail Boas,Boa constrictor,,1,,299,,,online,online,0
5796,6058,Big Apple Herp,,,NA,NA,Hypo Motley Jungle T+ Het Boas,Boa constrictor,,1,,299,,,online,online,0
5797,6059,Big Apple Herp,,,NA,NA,Sunglow Hi-Red Purple Boas,Boa constrictor,,1,,649,,,online,online,0
5798,6060,Big Apple Herp,,,NA,NA,Hypo Aztec T+ Boas,Boa constrictor,,1,,369,,,online,online,0
5799,6061,Big Apple Herp,,,NA,NA,T+ Aztec Boas,Boa constrictor,,1,,299,,,online,online,0
5800,6062,Big Apple Herp,,,NA,NA,Gee Hypo Het T+ Boas,Boa constrictor,,1,,279,,,online,online,0
5801,6063,Big Apple Herp,,,NA,NA,Salmon Keltic Boas,Boa constrictor,,1,,329,,,online,online,0
5802,6064,Big Apple Herp,,,NA,NA,Sunglow Purple Boa,Boa constrictor,,1,,695,,,online,online,0
5803,6065,Big Apple Herp,,,NA,NA,Kubsh Salmon Boas,Boa constrictor,,1,,299,,,online,online,0
5804,6066,Big Apple Herp,,,NA,NA,Double Het Sunglow Purple Jungle Boas,Boa constrictor,,1,,424.95,,,online,online,0
5805,6067,Big Apple Herp,,,NA,NA,T+ Albino Sunglow Boas,Boa constrictor,,1,,331.5,,,online,online,0
5806,6068,Big Apple Herp,,,NA,NA,Sunglow Red Pastel Sharp Boas,Boa constrictor,,1,,469,,,online,online,0
5807,6069,Big Apple Herp,,,NA,NA,Anerythristic Jungle Boas,Boa constrictor,,1,,329,,,online,online,0
5808,6070,Big Apple Herp,,,NA,NA,Super Salmon Boas,Boa constrictor,,1,,399,,,online,online,0
5809,6071,Big Apple Herp,,,NA,NA,Brazilian Red Tail Boas,Boa constrictor,,1,,239,,,online,online,0
5810,6072,Big Apple Herp,,,NA,NA,Hypo Jungle (Het Albino) Boas,Boa constrictor,,1,,349,,,online,online,0
5811,6073,Big Apple Herp,,,NA,NA,Guyana Red Tail Boas,Boa constrictor,,1,,289,,,online,online,0
5812,6074,Big Apple Herp,,,NA,NA,Purple Sided Guyana Boas,Boa constrictor,,1,,239,,,online,online,0
5813,6075,Big Apple Herp,,,NA,NA,Monster Tail X Boas,Boa constrictor,,1,,339,,,online,online,0
5814,6076,Big Apple Herp,,,NA,NA,Peruvian Red Tail Boa (STOCK PRT347),Boa constrictor,,1,,689,,,online,online,0
7045,7393,Got Reptiles,,,NA,NA,Albino Red-Tail Boa (c.b. babies),Boa constrictor,,1,,$499.99 ,,,online,online,0
7636,8012,Outback Reptiles,,,NA,NA,Marron Red Tail Boa – Juvenile Female,Boa constrictor,,1,,$450.00 ,,,online,online,0
7637,8013,Outback Reptiles,,,NA,NA,Russo Red Het Sterling Red Tail Boa – Juvenile Female,Boa constrictor,,1,,$400.00 ,,,online,online,0
7638,8014,Outback Reptiles,,,NA,NA,Amazing Sunset Red Tail Boa – Juvenile Male,Boa constrictor,,1,,"$1,250.00 ",,,online,online,0
7639,8015,Outback Reptiles,,,NA,NA,Columbian Red Tail Boa – Baby Female 1,Boa constrictor,,1,,$160.00 ,,,online,online,0
7640,8016,Outback Reptiles,,,NA,NA,Unusual Suriname Boa – Female,Boa constrictor,,1,,$550.00 ,,,online,online,0
8517,8959,Reptile City Inc,,,NA,NA,Albino Red-Tail Boa (c.b. babies),Boa constrictor,,1,,499.99,,,online,online,0
8610,9057,Reptile Rapture,,,NA,NA,"BOA CONSTRICTOR - 2019 ALBINO, CB MALE",Boa constrictor,,1,,,,,online,online,0
8611,9058,Reptile Rapture,,,NA,NA,"BOA CONSTRICTOR - 2019 SNOW, CB MALE",Boa constrictor,,1,,,,,online,online,0
8612,9059,Reptile Rapture,,,NA,NA,"BOA CONSTRICTOR - MOTLEY, CB 2019 MALE",Boa constrictor,,1,,,,,online,online,0
8613,9060,Reptile Rapture,,,NA,NA,"CB HOG ISLAND BOA (dwarf boa) - 2017 Male, 5.5 feet, boa constrictor imperator",Boa constrictor,,1,,,,,online,online,0
8614,9061,Reptile Rapture,,,NA,NA,"KAHL CORAL LIPSTICK SUNGLOW poss. JUNGLE, BOA CONSTRICTOR - CB 2018 FEMALE",Boa constrictor,,1,,,,,online,online,0
8615,9062,Reptile Rapture,,,NA,NA,"KAHL SUPER CORAL LIPSTICK SUNGLOW poss JUNGLE, BOA CONSTRICTOR - CB 2018 MALE",Boa constrictor,,1,,,,,online,online,0
8616,9063,Reptile Rapture,,,NA,NA,"MOTLEY BOA CONSTRICTOR - FEMALE, 6 years old",Boa constrictor,,1,,,,,online,online,0
8617,9064,Reptile Rapture,,,NA,NA,"ARGENTINE BOA CONSTRICTOR - 2019 CB FEMALE, Boa constrictor occidentalis",Boa constrictor,,1,,,,,online,online,0
8618,9065,Reptile Rapture,,,NA,NA,"BOA CONSTRICTOR - 2018 FEMALE, ANERY, CB",Boa constrictor,,1,,,,,online,online,0
8619,9066,Reptile Rapture,,,NA,NA,BOA CONSTRICTOR - CB 2019 FEMALE #1,Boa constrictor,,1,,,,,online,online,0
8620,9067,Reptile Rapture,,,NA,NA,"BOA CONSTRICTOR - HYPO JUNGLE, CB",Boa constrictor,,1,,,,,online,online,0
8621,9068,Reptile Rapture,,,NA,NA,"BOA CONSTRICTOR - SUNGLOW, CB 2017 MALE",Boa constrictor,,1,,,,,online,online,0
8622,9069,Reptile Rapture,,,NA,NA,"BOLIVIAN SHORT TAIL BOA CONSTRICTOR - CB 2018 FEMALE, Boa c. amarali",Boa constrictor,,1,,,,,online,online,0
8623,9070,Reptile Rapture,,,NA,NA,"CB HOG ISLAND BOA (dwarf boa) - 2019 ""Monet"" Male, boa constrictor imperator (t)",Boa constrictor,,1,,,,,online,online,0
8624,9071,Reptile Rapture,,,NA,NA,"CB HOG ISLAND BOA CROSS - 2019 Female, boa constrictor imperator",Boa constrictor,,1,,,,,online,online,0
8625,9072,Reptile Rapture,,,NA,NA,GUYANA BOA CONSTRICTOR - CB,Boa constrictor,,1,,,,,online,online,0
8626,9073,Reptile Rapture,,,NA,NA,"HOG ISLAND BOA CROSS - 2019 CB Female #2, boa constrictor imperator",Boa constrictor,,1,,,,,online,online,0
8627,9074,Reptile Rapture,,,NA,NA,"HOG ISLAND BOA CROSS - 2019 CB male , boa constrictor imperator",Boa constrictor,,1,,,,,online,online,0
8628,9075,Reptile Rapture,,,NA,NA,KAHL ALBINO PARADOX BOA CONSTRICTOR - 2013 MALE,Boa constrictor,,1,,,,,online,online,0
8629,9076,Reptile Rapture,,,NA,NA,"KAHL SUPER CORAL LIPSTICK SUNGLOW poss JUNGLE, BOA CONSTRICTOR - CB 2018 FEMALE #3",Boa constrictor,,1,,,,,online,online,0
8630,9077,Reptile Rapture,,,NA,NA,"KAHL SUPER CORAL LIPSTICK SUNGLOW poss JUNGLE, BOA CONSTRICTOR - CB 2018 FEMALE",Boa constrictor,,1,,,,,online,online,0
8631,9078,Reptile Rapture,,,NA,NA,MOTLEY 100% HET KAHL ALBINO BOA CONSTRICTOR,Boa constrictor,,1,,,,,online,online,0
8632,9079,Reptile Rapture,,,NA,NA,PEARL ISLAND BOA - 2015 CB ADULT FEMALE - boa constrictor sabogae,Boa constrictor,,1,,,,,online,online,0
8633,9080,Reptile Rapture,,,NA,NA,"SURINAME BOA CONSTRICTOR - CB FEMALE, 3 YEARS OLD - 5 FEET",Boa constrictor,,1,,,,,online,online,0
9040,9495,ReptilesNCritters,,,NA,NA,Peruvian Red Tail Boa cb babies,Boa constrictor,,1,,$799.99 ,,,online,online,0
9190,9649,Slither Pets,,,NA,NA,2019 C. B. VPI Hytec (Hypo x Aztec-M) Red-tail Boa (#7513-M),Boa constrictor,,1,,,,,online,online,0
9191,9650,Slither Pets,,,NA,NA,2020 C. B. Colombian Red Tail Boa (#2206-M),Boa constrictor,,1,,,,,online,online,0
9192,9651,Slither Pets,,,NA,NA,2020 C. B. Hypo (Possible Het T+) Red Tail Boa (#2203-M),Boa constrictor,,1,,,,,online,online,0
9193,9652,Slither Pets,,,NA,NA,2020 C. B. Hypo (Possible Het T+) Red Tail Boa (#2204-F),Boa constrictor,,1,,,,,online,online,0
9194,9653,Slither Pets,,,NA,NA,2020 C. B. Leopard Boa (#3408-M),Boa constrictor,,1,,,,,online,online,0
9195,9654,Slither Pets,,,NA,NA,2020 C. B. Motley het VPI T+ Red-tail Boa (#3321-M),Boa constrictor,,1,,,,,online,online,0
9196,9655,Slither Pets,,,NA,NA,2020 C. B. Motley Jungle Boa (#1508-F),Boa constrictor,,1,,,,,online,online,0
9197,9656,Slither Pets,,,NA,NA,2020 C. B. Nicaraguan Boa (#3312),Boa constrictor,,1,,,,,online,online,0
9349,9818,Snakes at Sunset,,,NA,NA,Hypo Salmon Boa Constrictor for sale (Boa Constrictor),Boa constrictor,,1,,169.99,,,online,online,0
9350,9819,Snakes at Sunset,,,NA,NA,Albino Motley Boa Constrictors for sale (Boa constrictor imperator),Boa constrictor,,1,,399.99,,,online,online,0
9351,9820,Snakes at Sunset,,,NA,NA,Albino Suriname Red Tail Boas for sale (Boa constrictor constrictor),Boa constrictor,,1,,15000,,,online,online,0
9352,9821,Snakes at Sunset,,,NA,NA,Baby Argentine Boas for sale (Boa constrictor occidentalis),Boa constrictor,,1,,199.99,,,online,online,0
9353,9822,Snakes at Sunset,,,NA,NA,Baby Bolivian Boas (Boa constrictor amarili),Boa constrictor,,1,,299.99,,,online,online,0
9354,9823,Snakes at Sunset,,,NA,NA,Baby Guyanan Red Tail Boas (Boa constrictor constrictor),Boa constrictor,,1,,199.99,,,online,online,0
9355,9824,Snakes at Sunset,,,NA,NA,Baby Pearl Island Boas (Boa constrictor imperator),Boa constrictor,,1,,199.99,,,online,online,0
9356,9825,Snakes at Sunset,,,NA,NA,Cay Caulker Island Boa Constrictors for sale (Boa constrictor),Boa constrictor,,1,,189.99,,,online,online,0
9357,9826,Snakes at Sunset,,,NA,NA,Colombian Red Tail Boa Constrictor for sale (Boa constrictor imperator),Boa constrictor,,1,,169.99,,,online,online,0
9358,9827,Snakes at Sunset,,,NA,NA,Colombian Red Tail Boa Constrictor for sale (Boa constrictor imperator) YEARLINGS,Boa constrictor,,1,,129.99,,,online,online,0
9359,9828,Snakes at Sunset,,,NA,NA,Coral Albino Boa Constrictor for sale (Boa c. imperator),Boa constrictor,,1,,299.99,,,online,online,0
9360,9829,Snakes at Sunset,,,NA,NA,Ghost Boa Constrictors for sale (Boa constrictor imperator),Boa constrictor,,1,,299.99,,,online,online,0
9361,9830,Snakes at Sunset,,,NA,NA,Hogg Island Boa Constrictor (Boa constrictor constrictor) ONE MALE LEFT,Boa constrictor,,1,,199.99,,,online,online,0
9362,9831,Snakes at Sunset,,,NA,NA,Hypo Boa Constrictor for sale (Boa Constrictor) YEARLING MALES ONLY,Boa constrictor,,1,,169.99,,,online,online,0
9363,9832,Snakes at Sunset,,,NA,NA,Hypo Arabesque Boa Constrictors for sale (Boa constrictor imperator),Boa constrictor,,1,,199.99,,,online,online,0
9364,9833,Snakes at Sunset,,,NA,NA,Hypo Motley Boa Constrictors for sale (Boa constrictor imperator) ONE MALE LEFT,Boa constrictor,,1,,249.99,,,online,online,0
9365,9834,Snakes at Sunset,,,NA,NA,Hypo Sonoran Boa Constrictors for sale (Boa constrictor imperator),Boa constrictor,,1,,149.99,,,online,online,0
9366,9835,Snakes at Sunset,,,NA,NA,Leopard Boa Constrictors for sale (Boa constrictor imperator),Boa constrictor,,1,,349.99,,,online,online,0
9367,9836,Snakes at Sunset,,,NA,NA,Lipstick Albino Boa Constrictor for sale (Boa constrictor imperator) -,Boa constrictor,,1,,299.99,,,online,online,0
9368,9837,Snakes at Sunset,,,NA,NA,Longicauda Boas for sale (Boa constrictor longicauda),Boa constrictor,,1,,139.99,,,online,online,0
9369,9838,Snakes at Sunset,,,NA,NA,MoonGlow Boa Constrictors for sale (Boa constrictor imperator),Boa constrictor,,1,,549.99,,,online,online,0
9370,9839,Snakes at Sunset,,,NA,NA,Motley Boa Constrictors for sale (Boa constrictor imperator),Boa constrictor,,1,,169.99,,,online,online,0
9371,9840,Snakes at Sunset,,,NA,NA,Pastel Colombian Red Tail Boa Constrictor for sale (Boa constrictor imperator),Boa constrictor,,1,,199.99,,,online,online,0
9372,9841,Snakes at Sunset,,,NA,NA,Peruvian Red Tail Boa Constrictor (Boa constrictor constrictor),Boa constrictor,,1,,399.99,,,online,online,0
9373,9842,Snakes at Sunset,,,NA,NA,PURPLE Sunglow Boas for sale (Boa constrictor imperator),Boa constrictor,,1,,449,,,online,online,0
9374,9843,Snakes at Sunset,,,NA,NA,SNOW Boa Constrictors for sale (Boa constrictor imperator),Boa constrictor,,1,,449.99,,,online,online,0
9375,9844,Snakes at Sunset,,,NA,NA,Sonoran Dwarf Boa Constrictor for sale (Boa constrictor),Boa constrictor,,1,,129.99,,,online,online,0
9376,9845,Snakes at Sunset,,,NA,NA,Suriname Red Tail Boas for sale (Boa constrictor constrictor),Boa constrictor,,1,,249.99,,,online,online,0
9377,9846,Snakes at Sunset,,,NA,NA,T+ Albino Boa Constrictors for sale (Boa constrictor imperator),Boa constrictor,,1,,249.99,,,online,online,0
10090,10573,Strictly Reptiles,,,NA,NA,PERUVIAN RED TAIL BOA – CB BABY,Boa constrictor,,1,,,,,online,online,0
10743,11295,Underground Reptiles,,,NA,NA,Baby Central American Boa,Boa constrictor,,1,,99.99,,,online,online,0
10744,11296,Underground Reptiles,,,NA,NA,Baby Colombian Redtail Boa,Boa constrictor,,1,,149.99,,,online,online,0
10745,11297,Underground Reptiles,,,NA,NA,Baby Argentine Boa Constrictor,Boa constrictor,,1,,174.99,,,online,online,0
10746,11298,Underground Reptiles,,,NA,NA,Baby Arabesque Redtail Boa,Boa constrictor,,1,,224.99,,,online,online,0
10747,11299,Underground Reptiles,,,NA,NA,Baby Hypo Colombian Redtail Boa,Boa constrictor,,1,,224.99,,,online,online,0
10748,11300,Underground Reptiles,,,NA,NA,Baby Super Hypo Colombian Redtail Boa,Boa constrictor,,1,,249.99,,,online,online,0
10749,11301,Underground Reptiles,,,NA,NA,Baby Central American Boa Poss Double Het Anery Type 2 Leopard,Boa constrictor,,1,,249.99,,,online,online,0
10750,11302,Underground Reptiles,,,NA,NA,Baby Nicaraguan Boa Poss Double Het T+ Albino Anery 2,Boa constrictor,,1,,249.99,,,online,online,0
10751,11303,Underground Reptiles,,,NA,NA,Yearling Guyana Redtail Boa,Boa constrictor,,1,,274.99,,,online,online,0
10752,11304,Underground Reptiles,,,NA,NA,Guyana Redtail Boa,Boa constrictor,,1,,249.99,,,online,online,0
10753,11305,Underground Reptiles,,,NA,NA,Baby Guyana Redtail Boa,Boa constrictor,,1,,299.99,,,online,online,0
10754,11306,Underground Reptiles,,,NA,NA,Baby Aztec Colombian Redtail Boa,Boa constrictor,,1,,299.99,,,online,online,0
10755,11307,Underground Reptiles,,,NA,NA,Baby Motley Jungle Het T+ Albino Boa,Boa constrictor,,1,,349.99,,,online,online,0
10756,11308,Underground Reptiles,,,NA,NA,Baby Hypo Motley Central American Boa Het Blood,Boa constrictor,,1,,349.99,,,online,online,0
10757,11309,Underground Reptiles,,,NA,NA,Baby T+ Albino Nicaraguan Boa Poss. Het Anery Type 2,Boa constrictor,,1,,349.99,,,online,online,0
10758,11310,Underground Reptiles,,,NA,NA,Baby Hypo Sonoran Boa,Boa constrictor,,1,,374.99,,,online,online,0
10759,11311,Underground Reptiles,,,NA,NA,Baby Sunglow Colombian Redtail Boa,Boa constrictor,,1,,374.99,,,online,online,0
10760,11312,Underground Reptiles,,,NA,NA,Baby Hypo Sonoran Boa Poss. Het T+ Albino,Boa constrictor,,1,,374.99,,,online,online,0
10761,11313,Underground Reptiles,,,NA,NA,Baby Pearl Island Boa Constrictor,Boa constrictor,,1,,399.99,,,online,online,0
10762,11314,Underground Reptiles,,,NA,NA,Baby Suriname Redtail Boa,Boa constrictor,,1,,399.99,,,online,online,0
10763,11315,Underground Reptiles,,,NA,NA,Baby Aztec Motley Boa,Boa constrictor,,1,,399.99,,,online,online,0
10764,11316,Underground Reptiles,,,NA,NA,Baby Raptor Boa Poss Het Berry Blood,Boa constrictor,,1,,499.99,,,online,online,0
10765,11317,Underground Reptiles,,,NA,NA,Suriname Redtail Boa #1,Boa constrictor,,1,,,,,online,online,0
10766,11318,Underground Reptiles,,,NA,NA,Suriname Redtail Boa #2,Boa constrictor,,1,,,,,online,online,0
10767,11319,Underground Reptiles,,,NA,NA,Baby Sonoran Leopard Boa,Boa constrictor,,1,,549.99,,,online,online,0
10768,11320,Underground Reptiles,,,NA,NA,Female Plasma Colombian Redtail Boa,Boa constrictor,,1,,599.99,,,online,online,0
10769,11321,Underground Reptiles,,,NA,NA,Baby Raptor Motley Boa,Boa constrictor,,1,,599.99,,,online,online,0
10770,11322,Underground Reptiles,,,NA,NA,Baby Aztec Raptor Boa,Boa constrictor,,1,,599.99,,,online,online,0
10771,11323,Underground Reptiles,,,NA,NA,Baby Raptor Motley Boa Poss. Het Berry Blood,Boa constrictor,,1,,649.99,,,online,online,0
10772,11324,Underground Reptiles,,,NA,NA,Baby Peruvian Redtail Boa,Boa constrictor,,1,,649.99,,,online,online,0
10773,11325,Underground Reptiles,,,NA,NA,Baby Fire Het T+ Albino Boa,Boa constrictor,,1,,699.99,,,online,online,0
10774,11326,Underground Reptiles,,,NA,NA,Baby Jungle Fire Het T+ Albino Boa,Boa constrictor,,1,,799.99,,,online,online,0
12114,12715,Wholesale Exotics,,,NA,NA,Columbian Red Tail Boa,Boa constrictor,,1,,,,,online,online,0
625,685,Gator City Reptiles Newberry Square,FL,Gainesville,29.66384499,-82.42445206,central american boa,Boa constrictor imperator,,1,,149.99,yes,,brick & mortar,brick & mortar,0
5469,5726,The Reptile Shop,CA,Temecula,33.51521,-117.16492,Hypo blood boa,Boa constrictor imperator,,1,,750,,,expo,Brick and mortar,0
5470,5727,The Reptile Shop,CA,Temecula,33.51521,-117.16492,Hypo blood boa,Boa constrictor imperator,,1,,750,,,expo,Brick and mortar,0
5471,5728,The Reptile Shop,CA,Temecula,33.51521,-117.16492,Blood boa,Boa constrictor imperator,,1,,650,,,expo,Brick and mortar,0
5473,5730,The Reptile Shop,CA,Temecula,33.51521,-117.16492,Boa constrictor,Boa constrictor imperator,,1,,200,,,expo,Brick and mortar,0
5815,6077,Big Apple Herp,,,NA,NA,Albino Boas - Boa constrictor imperator,Boa imperator,,1,,389,,,online,online,0
5816,6078,Big Apple Herp,,,NA,NA,Anery Central American Boas,Boa imperator,,1,,229,,,online,online,0
5817,6079,Big Apple Herp,,,NA,NA,Central American Boas,Boa imperator,,1,,99,,,online,online,0
5818,6080,Big Apple Herp,,,NA,NA,Costa Rican Boas,Boa imperator,,1,,229,,,online,online,0
9378,9847,Snakes at Sunset,,,NA,NA,Bahia Boa Constrictor for sale (Boa imperator) one male left,Boa imperator,,1,,169.99,,,online,online,0
9379,9848,Snakes at Sunset,,,NA,NA,Cancun Boa Constrictor for sale (Boa imperator),Boa imperator,,1,,149.99,,,online,online,0
9380,9849,Snakes at Sunset,,,NA,NA,Costa Rican Boa Constrictor for sale (Boa imperator),Boa imperator,,1,,139.99,,,online,online,0
9381,9850,Snakes at Sunset,,,NA,NA,Mexican Dwarf Boa Constrictor for sale (Boa imperator),Boa imperator,,1,,99.99,,,online,online,0
9382,9851,Snakes at Sunset,,,NA,NA,Nicaraguan Boa Constrictor for sale (Boa imperator) 3-4 ft cb raised unsexed!,Boa imperator,,1,,99.99,,,online,online,0
9383,9852,Snakes at Sunset,,,NA,NA,Taramahura Boa Constrictor for sale (Boa imperator),Boa imperator,,1,,149.99,,,online,online,0
3012,3199,Creature Breeders,CO,Thornton,NA,NA,albino cape house snake,Boaedon capensis,,1,m,,,,expo,,0
3013,3200,Creature Breeders,CO,Thornton,NA,NA,albino cape house snake,Boaedon capensis,,1,f,,,,expo,,0
2168,2332,Sabrina's Reptile Kingdon,RI,Cumberland,41.910938,-71.395188,African house snake,Boaedon fuliginosus,,1,m,75,,,expo,brick & mortar,0
2310,2478,NERD New England Reptile,NH,Plainstow,42.849063,-71.101687,Brown African house snake,Boaedon fuliginosus,,1,,150,,,expo,brick & mortar,0
7641,8036,Outback Reptiles,,,NA,NA,Black Olive African House Snake – CB baby,Boaedon fuliginosus,,1,,$75.00 ,,,online,online,0
9384,9853,Snakes at Sunset,,,NA,NA,African House Snake for Sale (Lamprophis fuliginosus),Boaedon fuliginosus,,1,,69.99,,,online,online,0
9385,9854,Snakes at Sunset,,,NA,NA,Albino African House Snakes for sale (Lamprophis fuliginosus),Boaedon fuliginosus,,1,,149.99,,,online,online,0
10091,10574,Strictly Reptiles,,,NA,NA,BLACK AFRICAN HOUSE SNAKE – JUVENILE TO ADULT SPECIAL,Boaedon fuliginosus,,1,,,,,online,online,0
10775,11328,Underground Reptiles,,,NA,NA,African Black House Snake,Boaedon fuliginosus,,1,,54.99,,,online,online,0
10776,11329,Underground Reptiles,,,NA,NA,Baby African Black House Snake,Boaedon fuliginosus,,1,,99.99,,,online,online,0
10777,11330,Underground Reptiles,,,NA,NA,Gladiator Tree Frog,Boana boans,,1,,89.99,,,online,online,0
10778,11331,Underground Reptiles,,,NA,NA,Convict Tree Frog,Boana calcarata,,1,,29.99,,,online,online,0
5819,6084,Big Apple Herp,,,NA,NA,Emerald Eye Tree Frogs,Boana crepitans,,1,,49,,,online,online,0
10092,10575,Strictly Reptiles,,,NA,NA,EMERALD EYE TREE FROG – ADULTS,Boana crepitans,,1,,,,,online,online,0
10779,11332,Underground Reptiles,,,NA,NA,Emerald Eye Tree Frog,Boana crepitans,,1,,29.99,,,online,online,0
5820,6085,Big Apple Herp,,,NA,NA,Trans Pecos Rat Snake,Bogertophis subocularis,,1,,134.99,,,online,online,0
9386,9856,Snakes at Sunset,,,NA,NA,Transpeco Rat Snake for sale (Bogertophis subocularis),Bogertophis subocularis,,1,,129.99,,,online,online,0
10780,11333,Underground Reptiles,,,NA,NA,Baby Trans-Pecos Rat Snake,Bogertophis subocularis,,1,,99.99,,,online,online,0
10781,11334,Underground Reptiles,,,NA,NA,Baby Blonde Trans-Pecos Rat Snake,Bogertophis subocularis,,1,,124.99,,,online,online,0
10782,11335,Underground Reptiles,,,NA,NA,Green Cat Eye Snake Pair,Boiga cyanea,,1,,399.99,,,online,online,0
5821,6086,Big Apple Herp,,,NA,NA,Mangrove (Cat) Snakes,Boiga dendrophila,,1,,189,,,online,online,0
10783,11336,Underground Reptiles,,,NA,NA,Mangrove Snake,Boiga dendrophila,,1,,149.99,,,online,online,0
10784,11337,Underground Reptiles,,,NA,NA,Baby Mangrove Snake,Boiga dendrophila,,1,,249.99,,,online,online,0
7529,7902,Omar's Exotic Birds,,,NA,NA,Lineolated Parakeets,Bolborhynchus lineola,,1,,,,,online,online,0
10236,10738,Sugar Creek Bird Farm,,,NA,NA,Green Lineolated Parakeets,Bolborhynchus lineola,,1,,$250 ,,,online,online,0
10237,10739,Sugar Creek Bird Farm,,,NA,NA,Olive Green Lineolated Parakeets,Bolborhynchus lineola,,1,,$250 ,,,online,online,0
10238,10740,Sugar Creek Bird Farm,,,NA,NA,Cobalt Lineolated Parakeets,Bolborhynchus lineola,,1,,$350 ,,,online,online,0
10239,10741,Sugar Creek Bird Farm,,,NA,NA,Turquoise Lineolated Parakeets,Bolborhynchus lineola,,1,,$350 ,,,online,online,0
10240,10742,Sugar Creek Bird Farm,,,NA,NA,Creamino Lineolated Parakeets,Bolborhynchus lineola,,1,,$350 ,,,online,online,0
10241,10743,Sugar Creek Bird Farm,,,NA,NA,Lutino Lineolated Parakeets,Bolborhynchus lineola,,1,,$350 ,,,online,online,0
10332,10854,The Bird Store,,,NA,NA,Lineolated Parakeets,Bolborhynchus lineola,,1,,,,,online,online,0
10397,10929,The Finch Farm,,,NA,NA,Lineolated Parakeet,Bolborhynchus lineola,,1,,473.99,,,online,online,0
5822,6087,Big Apple Herp,,,NA,NA,Palm Salamanders,Bolitoglossa dofleini,,1,,139,,,online,online,0
8634,9081,Reptile Rapture,,,NA,NA,"FIRE BELLY TOADS - WC, Bombina orientalis",Bombina orientalis,,1,,,,,online,online,0
10785,11338,Underground Reptiles,,,NA,NA,Firebelly Toad,Bombina orientalis,,1,,14.99,,,online,online,0
10786,11339,Underground Reptiles,,,NA,NA,Malagasy Gliding Frog,Boophis albilabris,,1,,39.99,,,online,online,0
6694,7013,Buck Trader,,,NA,NA,Nilgai Cows,Boselaphus tragocamelus,,1,,,,,online,online,0
6695,7014,Buck Trader,,,NA,NA,Nilgai Bulls,Boselaphus tragocamelus,,1,,,,,online,online,0
9387,9857,Snakes at Sunset,,,NA,NA,Ringed Pythons for sale (Bothrochilus boa),Bothrochilus boa,,1,,999.99,,,online,online,0
10787,11340,Underground Reptiles,,,NA,NA,Lancehead Viper,Bothrops atrox,,1,,349.99,,,online,online,0
10788,11341,Underground Reptiles,,,NA,NA,Mozambique Rain Frog,Breviceps mossambicus,,1,,39.99,,,online,online,0
5823,6089,Big Apple Herp,,,NA,NA,Sudan Giant Plated Lizards,Broadleysaurus major,,1,,74.95,,,online,online,0
